day;start;end;description;length;activity;
09/01/2024;10:30;15:24;;03:13;Kawaii Chibi Personaggi;
15/01/2024;14:46;14:48;;00:01;Kawaii Chibi Personaggi (2);
16/01/2024;10:14;17:14;;03:42;Kawaii Chibi Personaggi (2);
17/01/2024;09:12;09:24;Lavori Superbonus;00:11;Condominio;
17/01/2024;11:00;11:26;Permesso preferenziale;00:26;Condominio;
17/02/2024;11:23;11:55;Sviluppo app;00:31;Zafu;
17/02/2024;14:13;14:26;Sviluppo app;00:13;Zafu;
17/02/2024;14:41;14:47;README;00:06;Zafu;
18/02/2024;14:18;14:45;Sistemazione CSS;00:26;Sito personale;
19/02/2024;09:15;09:55;;00:40;Sito personale;
19/02/2024;09:55;11:59;Testi per Æterni Animi;02:03;Anonima Artisti;
19/02/2024;15:00;18:42;;03:42;Anonima Artisti;
20/02/2024;08:32;10:39;Music.py;02:00;Anonima Artisti;
20/02/2024;10:53;12:09;Music.py;01:15;Anonima Artisti;
20/02/2024;13:06;15:35;Music.py;02:29;Anonima Artisti;
20/02/2024;18:53;19:39;Music.py;00:45;Anonima Artisti;
21/02/2024;08:00;08:58;Scrittura;00:58;Un modo si trova;
21/02/2024;09:04;11:53;Music.py;02:23;Anonima Artisti;
21/02/2024;12:30;13:25;Personal Accountability;00:38;Sito personale;
21/02/2024;13:26;15:06;Music.py;01:40;Anonima Artisti;
21/02/2024;15:07;15:42;Personal Accountability;00:34;Sito personale;
21/02/2024;15:42;15:56;Corsi privati;00:14;Bottega Finzioni;
21/02/2024;18:11;19:05;;00:53;Sito personale;
22/02/2024;08:34;08:49;Personal Accountability;00:14;Sito personale;
22/02/2024;08:50;12:37;Music.py;03:36;Anonima Artisti;
22/02/2024;13:11;14:06;Music.py;00:54;Anonima Artisti;
22/02/2024;15:20;16:01;Music.py;00:37;Anonima Artisti;
22/02/2024;16:02;16:26;Corsi privati;00:24;Bottega Finzioni;
22/02/2024;16:27;16:55;Sito;00:27;𝔥𝔬𝔲𝔰𝔢 𝔬𝔣 𝔴𝔢𝔦𝔯𝔡𝔬𝔰;
23/02/2024;07:10;08:13;Scrittura;01:01;Un modo si trova;
23/02/2024;08:59;10:15;Music.py;01:15;Anonima Artisti;
23/02/2024;10:15;11:15;Call;01:00;Anonima Artisti;
23/02/2024;11:29;11:50;Cessione del credito;00:20;Condominio;
23/02/2024;13:14;13:19;Icona;00:05;Zafu;
23/02/2024;14:14;15:05;Personal Accountability;00:51;Sito personale;
23/02/2024;16:36;17:45;;01:09;Corsi privati;
23/02/2024;18:09;18:36;;00:26;Sito personale;
23/02/2024;18:36;18:48;Certificazioni uniche;00:12;Condominio;
24/02/2024;07:17;07:40;;00:15;Un modo si trova;
24/02/2024;07:47;08:16;;00:28;𝔥𝔬𝔲𝔰𝔢 𝔬𝔣 𝔴𝔢𝔦𝔯𝔡𝔬𝔰;
26/02/2024;08:23;08:58;;00:35;Un modo si trova;
26/02/2024;09:04;11:27;Æterni Anima;02:01;Anonima Artisti;
26/02/2024;13:00;16:59;Music e Æterni;03:59;Anonima Artisti;
27/02/2024;08:51;12:24;;03:33;Anonima Artisti;
27/02/2024;16:52;17:13;Music.py;00:21;Anonima Artisti;
28/02/2024;12:13;15:34;;03:21;Anonima Artisti;
28/02/2024;18:02;19:15;Riunione letteraria;01:12;Anonima Artisti;
29/02/2024;10:16;12:24;Da1me;02:07;Anonima Artisti;
29/02/2024;12:53;15:13;Da1me;02:20;Anonima Artisti;
01/03/2024;09:01;12:16;Audiovisual Medicine;02:56;Anonima Artisti;
01/03/2024;13:17;14:28;Music.py;01:11;Anonima Artisti;
